Persona:int,ComunaOrigen:int,ComunaDestino:int
10081002,103,103
10081002,103,103
10081003,103,98
10081003,98,103
10081003,103,103
10081003,103,103
10081004,103,98
10081004,98,103
10081004,103,103
10081004,103,103
10082201,103,103
10082201,103,103
10082201,103,103
10082201,103,103
10082202,103,103
10082202,103,103
10082202,103,103
10082202,103,103
10082202,103,103
10082202,103,103
10082203,103,98
10082203,98,103
10083201,103,103
10083201,103,103
10083202,103,999
10083202,999,103
10083203,103,999
10083203,999,103
10083204,103,103
10083204,103,103
10084301,103,103
10084301,103,103
10085001,103,98
10085001,98,103
10085001,103,103
10085001,103,103
10085001,103,103
10085001,103,103
10085002,94,94
10085002,94,103
10085002,103,103
10085002,103,103
10085002,103,103
10085003,103,72
10085003,72,103
10085003,103,103
10085003,103,103
10085004,103,103
10085004,103,103
10085005,103,103
10085005,103,103
10086201,103,103
10086201,103,103
10086202,103,70
10086202,70,103
10086203,103,103
10086203,103,103
10087201,103,70
10087201,70,70
10088201,103,103
10088201,103,103
10089001,103,999
10089001,999,103
10089001,103,103
10089001,103,103
10089001,103,103
10089001,103,103
10089001,103,999
10089001,999,0
10089001,0,103
10089001,103,999
10089001,999,103
10089001,103,103
10089001,103,103
10089001,103,103
10089002,103,103
10089002,103,103
10089002,103,103
10089002,103,103
10089002,103,103
10089002,103,103
10089002,103,103
10089003,103,103
10089003,103,103
10089003,103,103
10089003,103,103
10089003,103,103
10089003,103,103
10089004,103,103
10089004,103,103
10089005,103,103
10089005,103,103
10090201,103,103
10090201,103,103
10090201,103,103
10090201,103,103
10090201,103,103
10090202,103,103
10090202,103,103
10090202,103,103
10090204,103,103
10090204,103,103
10090205,103,103
10090205,103,103
10091203,103,93
10091203,93,103
10091204,103,93
10091204,93,103
10091204,103,103
10091204,103,103
10091205,103,93
10091205,93,103
10092201,103,103
10092201,103,103
10093001,103,103
10093001,103,103
10093002,103,103
10093002,103,103
10093004,103,103
10093004,103,103
10093005,103,103
10093005,103,103
10094001,103,103
10094001,103,103
10094001,103,103
10094001,103,103
10094002,103,103
10094002,103,103
10094003,103,103
10094003,103,103
10096001,103,103
10096001,103,103
10097202,103,103
10097202,103,103
10097203,103,103
10097203,103,103
10097204,103,70
10097204,70,103
10097205,103,103
10097205,103,103
10097206,103,103
10097206,103,103
10098003,103,103
10098003,103,103
10098004,0,103
10098004,103,999
10098005,103,999
10098005,999,70
10098005,70,103
10098006,103,103
10098006,103,103
10098007,103,103
10098007,103,103
10099001,103,103
10099001,103,103
10099002,103,103
10099002,103,103
10099002,103,103
10099002,103,103
10099002,103,103
10099002,103,103
10099003,103,103
10099003,103,103
10099003,103,103
10099003,103,103
10099004,103,103
10099004,103,103
10099004,103,103
10099004,103,103
10100201,103,103
10100201,103,103
10100202,103,103
10100202,103,103
10100202,103,103
10100202,103,103
10100202,103,103
10100203,103,70
10100203,70,70
10100203,70,328
10100203,328,103
10101201,103,103
10101201,103,103
10102101,103,103
10102101,103,103
10102101,103,103
10103001,103,103
10103001,103,103
10103001,103,103
10103001,103,103
10103002,103,103
10103002,103,103
10103003,103,103
10103003,103,103
10103004,103,70
10103004,70,103
10104101,103,103
10104101,103,103
10105101,103,95
10105101,95,103
10105102,103,103
10105102,103,103
10105103,103,103
10105103,103,103
10106201,103,103
10106201,103,103
10106202,103,103
10106202,103,103
10106202,103,103
10106202,103,103
10107001,103,103
10107001,103,103
10107001,103,103
10107002,103,103
10107002,103,103
10107002,103,103
10107002,103,103
10107003,103,103
10107003,103,103
10107004,103,103
10107004,103,103
10107004,103,103
10107004,103,103
10107004,103,103
10107004,103,103
10108001,103,103
10108001,103,103
10108001,103,103
10108002,103,103
10108002,103,103
10108003,103,103
10108003,103,103
10108003,103,103
10109101,103,103
10109101,103,98
10109101,98,103
10109101,103,103
10109101,103,103
10109102,103,103
10109102,103,103
10109103,103,103
10109103,103,103
10110201,103,103
10110201,103,103
10110201,103,103
10110201,103,103
10110201,103,103
10110201,103,103
10110201,103,103
10110202,103,103
10110202,103,103
10110202,103,103
10110202,103,103
10110203,103,103
10110203,103,103
10110203,103,103
10110203,103,103
10110204,103,103
10110204,103,103
10110204,103,103
10110204,103,103
10111101,103,103
10111101,103,103
10111102,103,103
10111102,103,103
10112001,103,70
10112001,70,103
10112002,103,70
10112002,70,103
10114201,103,338
10114201,338,103
10114201,103,103
10114201,103,103
10114202,103,70
10114202,70,103
10114203,103,70
10114203,70,103
10115002,103,103
10115002,103,103
10115002,103,103
10115002,103,103
10116201,103,338
10116201,338,103
10117101,103,95
10117101,95,95
10117101,95,103
10117102,103,95
10117102,95,103
10117103,103,70
10117103,70,103
10119001,103,103
10119001,103,103
10119001,103,103
10119001,103,103
10119001,103,103
10119001,103,999
10119001,999,103
10119001,103,103
10119001,103,103
10119002,103,103
10119002,103,103
10119002,103,103
10119002,103,103
10119002,103,103
10119002,103,103
10119002,103,103
10119002,103,103
10119002,103,103
10119002,103,103
10119003,103,98
10119003,98,103
10120201,103,103
10120201,103,103
10120202,103,103
10120202,103,103
10120203,103,103
10120203,103,103
10120205,103,103
10120205,103,103
10121001,103,327
10121001,327,103
10121002,103,103
10121002,103,103
10121002,103,103
10121002,103,103
10121003,103,70
10121003,70,103
10121004,103,103
10121004,103,103
10121005,103,327
10121005,327,103
10122001,103,103
10122001,103,103
10122001,103,103
10122001,103,103
10122001,103,103
10122003,103,103
10122003,103,103
10122003,103,103
10122003,103,103
10122004,103,70
10122004,70,70
10122004,70,103
10123101,103,70
10123101,70,103
10123102,103,103
10123102,103,103
10123102,103,103
10123102,103,103
10123103,103,103
10123103,103,103
10124101,103,103
10124101,103,103
10124102,103,103
10124102,103,103
10125001,103,103
10125001,103,103
10125002,103,103
10125002,103,103
10125004,103,70
10125004,70,103
10125009,103,103
10125009,103,103
10125009,103,103
10125009,103,103
10125010,103,70
10125010,70,103
10126202,103,103
10126202,103,103
10126203,103,103
10126203,103,103
10127001,103,103
10127001,103,103
10127002,103,103
10127002,103,103
10127002,103,103
10127002,103,103
10127003,103,103
10127003,103,103
10129002,103,103
10129002,103,103
10129002,103,103
10129003,103,103
10129003,103,103
10129003,103,103
10129004,103,0
10129004,0,103
10129004,103,0
10129004,0,103
10129005,103,103
10129005,103,103
10130001,103,103
10130001,103,103
10130002,103,328
10130003,103,0
10130003,0,103
10130003,103,103
10130003,103,103
10131001,103,338
10131001,338,103
10132001,103,0
10132001,0,103
10132001,103,103
10132001,103,103
10132002,103,103
10132002,103,103
10132003,103,0
10132003,0,103
10133201,103,103
10133201,103,103
10133201,103,103
10133202,103,103
10133202,103,103
10133202,103,103
10134002,103,103
10134002,103,103
10134003,103,103
10134003,103,103
10134004,103,103
